"lex.id","colex.id","lc.id","concepticon.id","concept.ru","concept.en","subentry","aux","opt","excl","orthographic","phonemic","gloss","ipa","def.ru","def.en","cx1","cx1.ru","cx1.en","cx2","cx2.ru","cx2.en","cx3","cx3.ru","cx3.en","gender","notes","todo","lang"
"68",,"68",,"МАЛЬЧИК","BOY","sg",,,,"дёрхӀё","duˁrħuˁ","R(boy)","duˁrħuˁ","мальчик,сын, ребёнок","boy, son, child",,,,,,,,,,,,,"itsari"
"68",,"68",,,,"pl","aux",,,"дегьни","deh-ni","R(boy)-PL","dehni",,,,,,,,,,,,,,,"itsari"
"69",,"69",,"ДЕВОЧКА","GIRL","sg",,,,"рирсси","rirsːi","R(girl)","rirsːi","девочка, дочь","girl, daughter",,,,,,,,,,,,,"itsari"
"69",,"69",,,,"pl","aux",,,"рирсби","rirs-bi","R(girl)-PL","rirsbi",,,,,,,,,,,,,,,"itsari"
"70","68","70",,"РЕБЁНОК","CHILD","sg",,,,"дёрхӀё","duˁrħuˁ","R(boy)","duˁrħuˁ","мальчик,сын, ребёнок","boy, son, child",,,,,,,,,,,,,"itsari"
"70","68","70",,,,"pl","aux",,,"дегьни","deh-ni","R(boy)-PL","dehni",,,,,,,,,,,,,,,"itsari"
"71",,"71",,"МЛАДЕНЕЦ","INFANT","sg",,,,"нёкьеци","nuˁqʼe-ci","R(small)-ATTR","nuˁq͡χʰˁet͡sʰi","маленький","small",,,,,,,,,,,,,"itsari"
"71",,"71",,,,"pl","aux",,,"нёкьети","nuˁqʼe-ti","R(small)-PL","nuˁq͡χʰˁetʰi",,,,,,,,,,,,,,"<strong>check</strong>","itsari"
"72",,"72",,"МУЖ","HUSBAND","sg",,,,"суб","sub","R(husband)","sub",,,,,,,,,,,,,,,"itsari"
"72",,"72",,,,"pl","aux",,,"субри","sub-ri","R(husband)-PL","subri",,,,,,,,,,,,,,,"itsari"
"73","65","73",,"ЖЕНА","WIFE","sg",,,,"хьхьунул","xːunul","R(woman)","xːunul","женщина, жена","woman, wife",,,,,,,,,,,,,"itsari"
"73","65","73",,,,"pl","aux",,,"хьхьунри","xːun-ri","R(woman)-PL","xːunri",,,,,,,,,,,,,,,"itsari"
"74",,"74",,"НЕВЕСТА","BRIDE","sg",,,,"цӀикури ","cʼikuri","R(bride)","t͡sʼikʰuri","жених, невеста","bridegroom, bride",,,,,,,,,,,,,"itsari"
"74",,"74",,,,"pl","aux",,,"цӀикурми","cʼikur-mi","R(bride)-PL","t͡sʼikʰurmi",,,,,,,,,,,,,,,"itsari"
"75","74","75",,"ЖЕНИХ","BRIDEGROOM","sg",,,,"цӀикури ","cʼikuri","R(bride)","t͡sʼikʰuri","жених, невеста","bridegroom, bride",,,,,,,,,,,,,"itsari"
"75","74","75",,,,"pl","aux",,,"цӀикурми","cʼikur-mi","R(bride)-PL","t͡sʼikʰurmi",,,,,,,,,,,,,,,"itsari"
