"lex.id","colex.id","lc.id","concepticon.id","concept.ru","concept.en","subentry","aux","opt","excl","orthographic","phonemic","gloss","ipa","def.ru","def.en","cx1","cx1.ru","cx1.en","cx2","cx2.ru","cx2.en","cx3","cx3.ru","cx3.en","gender","notes","todo","lang"
"93",,"93",,"ВНУЧКА (ДОЧЬ ДОЧЕРИ)","GRANDDAUGHTER (DAUGHTER OF DAUGHTER)","sg",,,,"йошулӀи йоши",,,,,,,,,,,,,,,,,,"zilo"
"93",,"93",,,,"pl","aux",,,"йошулӀол йошибол",,,,,,,,,,,,,,,,,,"zilo"
"94",,"94",,"ДЯДЯ (БРАТ ОТЦА)","UNCLE (BROTHER OF FATHER)","sg",,,,"имув воцци",,,,,,,,,,,,,,,,,,"zilo"
"94",,"94",,,,"pl","aux",,,"имув воццул",,,,,,,,,,,,,,,,,,"zilo"
"95",,"95",,"ДЯДЯ (БРАТ МАТЕРИ)","UNCLE (BROTHER OF MOTHER)","sg",,,,"илулӀи воцци",,,,,,,,,,,,,,,,,,"zilo"
"95",,"95",,,,"pl","aux",,,"илулӀол воццул",,,,,,,,,,,,,,,,,,"zilo"
"96",,"96",,"ТЁТЯ (СЕСТРА ОТЦА)","AUNT (SISTER OF FATHER)","sg",,,,"имув йоцци",,,,,,,,,,,,,,,,,,"zilo"
"96",,"96",,,,"pl","aux",,,"имув йоццибол",,,,,,,,,,,,,,,,,,"zilo"
"97",,"97",,"ТЁТЯ (СЕСТРА МАТЕРИ)","AUNT (SISTER OF MOTHER)","sg",,,,"илулӀи йоцци",,,,,,,,,,,,,,,,,,"zilo"
"97",,"97",,,,"pl","aux",,,"илулӀол йоццибол",,,,,,,,,,,,,,,,,,"zilo"
"98",,"98",,"ПЛЕМЯННИК (СЫН БРАТА)","NEPHEW (SON OF BROTHER)","sg",,,,"воццув вошо",,,,,,,,,,,,,,,,,,"zilo"
"98",,"98",,,,"pl","aux",,,"воццувул вошул",,,,,,,,,,,,,,,,,,"zilo"
"99",,"99",,"ПЛЕМЯННИК (СЫН СЕСТРЫ)","NEPHEW (SON OF SISTER)","sg",,,,"йоццилӀи вошо",,,,,,,,,,,,,,,,,,"zilo"
